x,y,z
11.3444805,13.906695,27.551281
7.7271857,12.208006,18.079306
9.617343,-0.42802885,37.558685
-8.202415,0.4847928,35.261913
6.144104,6.7562,23.221891
-7.38668,-6.9825153,26.23553
-8.401359,0.2611045,35.422012
-8.94825,-12.776023,21.658182
-3.2898858,-3.6623816,20.048256
3.9623003,6.2655253,16.909372
13.26125,11.539614,35.040096
4.914115,3.2397676,25.45853
-8.666299,-9.292566,26.380009
2.5924163,-3.1023152,28.875832
-0.74157184,-1.1128411,13.784018
14.327031,14.901391,34.25559
5.3524313,2.01981,27.94974
-4.458599,-6.74609,16.691143
-1.7344744,-3.0329084,11.508454
7.5157237,8.439009,24.464949
-1.2040303,-1.5554394,16.11397
-2.516534,-2.4002926,20.247583
4.1279516,-1.1729199,29.255978
-16.36126,-20.076265,34.14424
4.9210677,3.8731036,24.543299
-9.51039,-8.765233,29.181808
-8.538096,-9.344318,25.963663
6.5683312,9.007171,20.331743
-2.7919385,-6.3486843,25.653606
-6.1426387,-7.200664,22.43306
2.6569908,2.0369587,21.55943
-6.0032063,-3.2033997,27.877127
-6.681331,-5.0811186,27.048615
-8.181647,-11.110565,22.027336
3.7183075,-1.668068,29.104849
10.04428,3.3092458,35.52876
9.629787,7.468477,30.897583
-3.9555466,0.74354213,28.507519
4.9142694,5.903599,20.89496
-8.686452,-9.285618,26.44342
8.4705515,11.766318,21.829254
-9.500535,-14.098507,21.317717
-4.685442,2.2604475,31.17891
4.7382364,1.7963638,26.992727
2.3918123,1.5063728,21.86193
-12.341782,-15.907382,27.70817
9.251802,8.4232645,28.96427
5.168106,3.535342,25.628334
-9.192467,-10.338175,26.352423
10.352697,6.409262,33.484894
9.440714,10.538975,26.744501
8.071124,12.617981,18.470585
-15.86143,-17.871178,35.132675
2.6857357,4.4112973,19.245031
7.514273,9.79732,22.173962
1.8916866,-2.5639257,27.184126
0.20442586,2.8520079,23.77845
-4.841174,-7.9313006,14.886392
0.780169,1.5662477,5.2809935
-8.250175,-9.608465,24.781797
15.20687,17.84344,33.389256
3.6138794,3.496497,21.547838
9.263144,-4.809371,39.765873
9.989329,12.407582,25.65573
6.11092,-3.1778507,34.048077
-2.391381,-4.214832,11.978666
9.768036,8.8606415,29.692024
0.4814662,1.4829335,19.01409
-10.74486,-10.72249,29.88704
8.967316,11.303175,24.260155
-4.503768,-4.2006526,22.892475
4.6641994,7.6839995,15.178987
8.549088,9.270758,26.097868
-4.7671466,-9.175809,8.436041
-12.928948,-18.403204,25.965628
-3.811704,-4.4957275,20.025293
-9.877304,-10.362117,28.137413
-3.0070615,-4.4960694,15.968329
6.371436,1.2899209,30.635956
9.589367,7.4041677,30.88665
2.071261,1.5946627,20.596231
-5.023576,-3.404629,25.477095
8.087955,11.617152,20.713741
-2.9106772,-5.1979613,11.427679
2.624499,2.8431714,19.493292
-8.234812,-8.886322,25.796522
10.467359,16.697989,19.94304
-10.728875,-11.538697,28.945017
-4.720608,-2.5232813,26.013597
-7.6570954,-7.806149,25.794579
-0.48603857,5.513844,28.62167
-9.317229,-11.668579,25.039696
-6.6824884,-6.6495175,24.897686
-3.317859,-4.3930216,18.148685
5.600665,-0.662119,31.172163
-3.7153573,-4.876891,18.6097
7.6503386,0.6478375,33.442417
-7.1305885,-13.027635,12.121418
-7.6284027,-8.592112,24.55605
-8.081822,-10.805549,22.243233
-10.9655695,-17.629763,20.129417
-1.4239056,-2.4806294,16.244871
-14.10801,-14.758674,33.85383
8.039253,11.714642,20.676334
-5.9948344,0.71384937,31.85881
-13.074539,-10.093116,35.963894
-6.6207604,-9.339285,19.83619
-11.021182,0.23756652,39.808247
-4.0829973,-6.2052503,19.407187
-8.713734,-9.240588,26.578835
-3.9936073,1.097444,28.960667
7.6128135,8.553894,24.580133
-2.848058,5.0832324,31.132605
