x,y,z
9.062618,15.2948885,16.725006
4.9737306,8.194815,14.785885
-6.926426,-11.811703,14.86938
5.369398,6.740899,20.736301
8.622662,10.365679,24.694298
2.0356991,-1.8460178,26.514093
-3.055034,-0.32244146,25.507202
9.203088,10.809721,25.710035
-13.615836,-15.605701,31.652222
10.735391,6.2850213,34.37928
0.6970244,0.6917579,16.552563
-0.5861374,-1.5434229,18.599705
3.671039,-2.7669175,30.136438
-4.026863,-0.045513324,27.73827
3.9633923,6.507902,23.83089
-11.926234,-6.993696,36.207436
-3.371518,0.08321936,26.6794
-3.1630747,-5.863928,9.764181
-1.7722039,-3.9653895,22.31021
-8.69379,-4.6271105,31.793472
7.9192824,7.073043,27.425894
-8.779539,-2.6111658,33.784405
5.961428,9.781675,15.494342
5.0558734,9.496135,9.769646
-1.4439609,4.1107993,28.327051
-3.4080055,-5.6319633,14.953518
2.8762033,2.7308362,20.73897
-1.6576686,-2.8332484,16.246101
8.309108,6.946891,28.499722
8.470207,6.989734,28.81784
1.6904474,2.1898923,16.763433
7.8192587,7.8573112,26.146677
3.2436726,2.2252994,22.908941
-7.377815,-5.3382754,28.299421
1.5456257,-1.0442935,24.405832
-2.819262,-4.690972,13.424562
-1.3718756,-3.2261367,21.408405
-7.70066,-7.564953,26.23601
-6.6158385,-6.951524,24.253119
-10.0549345,-6.1697507,33.083626
-10.392302,-12.838674,26.218899
7.091308,-1.9956547,34.62768
-14.288467,-20.382723,27.56546
-1.8420173,-0.95607454,21.331142
8.204139,9.866976,24.233723
-11.911922,-18.757927,21.789051
-7.974444,-6.671778,28.051552
-8.2649555,-10.0032425,24.197378
5.946113,-0.20895258,31.322536
-8.782861,-9.417187,26.521881
13.822874,10.130751,37.54052
14.797991,11.154633,38.827637
7.329284,7.2789736,25.679005
0.8742856,0.843645,17.19373
-8.215613,-8.723463,25.975113
7.231687,4.3081446,29.16185
-6.473361,-8.102035,21.836975
-5.2416296,-2.185598,27.537605
8.919147,11.043314,24.519085
8.714337,0.95818365,35.017296
6.5381923,8.446352,21.391893
6.031236,6.65247,23.06348
-7.909237,-11.071791,21.133194
-12.303721,-13.053148,31.129522
1.3093106,2.7144382,19.670866
12.367743,10.092799,34.355034
3.9506361,0.2656345,27.342995
9.13891,10.578446,25.856655
-5.340966,-0.4544743,29.641983
10.553353,8.564833,31.821125
-5.917627,-3.9506624,26.774433
0.21181054,0.49677718,14.388753
-1.0897495,4.3353505,28.085634
6.668875,6.983526,24.351166
5.02893,7.3076167,20.62759
-5.089085,-1.281789,28.290018
8.12844,12.477803,19.043526
-1.000194,-2.4731143,20.328905
8.639416,-2.0614755,37.08976
-7.1388865,-5.8436956,27.13866
-5.9759216,-6.9587626,22.3488
-5.294905,-5.2771335,23.27556
8.39535,5.658691,30.14371
-7.6691246,-8.104949,25.394114
4.8338375,9.860273,5.2601266
-10.884773,-16.377789,22.160185
7.384277,7.6320586,25.315987
10.531162,18.716396,15.811854
4.5511317,8.550657,9.539901
-12.564136,-19.253466,23.379417
9.397165,11.216997,25.670902
2.1089022,2.097004,19.389017
-0.06912683,1.5364406,21.599655
-7.7550673,-11.120593,20.454967
6.644205,5.3660436,26.599447
15.531498,11.208883,40.415623
-4.3563075,-6.8540726,15.707316
5.983042,6.1531796,23.76285
9.504615,16.043928,17.057457
9.324997,2.0321465,35.240013
9.355831,-1.1914879,37.641556
-5.116467,-3.1780431,26.005438
-3.0283144,-5.093135,13.209312
-2.2002988,-0.32068366,23.600231
16.873384,19.902737,35.777527
5.5629497,3.3377023,26.77909
-7.668935,-8.067582,25.445974
-7.925783,-14.676809,11.969181
5.3392706,8.744335,15.177674
-4.766928,-2.88825,25.613007
-12.564522,-9.921618,34.97097
-8.255945,-10.288348,23.71006
-1.8661312,-1.697379,19.503092
-9.204684,-9.908248,26.975273
-7.1505547,-7.443767,24.968443
3.3197784,4.8994017,16.426767
-1.91452,-2.8760962,15.090093
-11.9439,-20.605476,18.389824
-10.504621,-16.825758,19.835596
-8.264544,-9.488398,24.989502
-8.770108,-9.666229,26.135529
2.0388703,-1.8957524,26.586912
4.603011,8.873509,8.294375
-14.806955,-13.590621,36.7109
-0.18308863,-0.34515232,8.141753
2.6021085,4.3523936,13.180613
-8.034844,-9.944831,23.585514
7.5602117,8.37534,24.690243
1.1354699,1.9332533,11.989103
-6.3418984,-5.5836425,25.576258
-8.281585,-3.9273,31.65335
-7.9114175,-8.132701,25.998339
1.0666164,-2.7942493,26.113462
-9.400586,-6.090974,31.817541
-7.4919443,-7.944575,25.149359
-12.463469,-17.078861,26.410381
13.870856,11.180495,36.73153
-1.2078713,-2.257801,9.101456
8.150483,8.67077,25.875338
-9.333825,-11.149315,25.590189
-12.193595,-17.301144,25.202711
-10.091485,-11.103286,27.746634
-7.0981135,-11.673917,16.162907
12.945399,13.114908,32.669464
-0.3101629,-0.47376093,12.448402
11.703314,16.206669,25.274364
-4.47671,-2.8338442,25.022642
8.478249,-0.6129006,35.805443
0.2077071,2.2461183,22.490082
-5.121869,-8.933673,12.931192
-1.1686332,0.4755889,22.441021
8.193665,5.1744843,30.234137
-13.299462,-16.045353,30.27153
-15.067706,-15.0625105,35.951214
2.847305,0.71681386,24.466686
6.4381065,6.466643,24.520407
0.90875494,-4.08121,27.532028
-4.134036,5.5269284,33.13557
15.57362,8.428003,42.63506
11.850545,20.349121,18.49157
-6.1095896,-7.745875,21.28706
-9.115012,-9.664112,27.064194
-14.158117,-15.992607,32.651596
-13.624339,-20.679214,24.890745
-5.149805,-8.0115185,16.487316
-11.774282,-2.0558314,39.615242
11.809336,17.118813,24.193895
-10.179893,-12.725732,25.757175
-6.386119,-7.440635,22.767155
-2.9472167,-4.718732,17.906952
9.855831,3.742487,34.825977
11.7684555,9.334091,33.762238
6.641486,6.471216,25.053152
