Target,MOC total,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
PG4,95.03,59.39,0.61,21.44,4.88,3.29,0.01,0.71,4.69,95.02,-1.257757688,0.793128182,0.288352942,1.248792503,-0.704513364,0.05640554,0.061524679,0.144502752,1.143037823,-0.382865207,0.574682782,-0.576036056,0.498409698,-0.209724251,0.091371108,-0.397319184,-0.125328054,-0.218671617,0.543762983,0.041817925,0.409015845,0.37594675,-0.187137407,-0.551757275,0.951835603
PG5,94.85,57.61,0.7,23.18,4.64,3.21,0.01,0.3,5.18,94.83,-1.135144229,0.724664078,0.460275067,1.149017845,-0.395440228,0.203225956,0.3236112,-0.173499857,1.689913829,-0.367683638,0.463017473,-0.587342623,0.495508062,0.344589499,0.492587743,-1.034365158,0.050730418,-0.311749652,1.024968654,-0.013318961,1.436948884,0.829580515,-0.455154214,-0.179506133,0.625882888
PG5,94.85,57.61,0.7,23.18,4.64,3.21,0.01,0.3,5.18,94.83,-1.184890241,0.712351606,0.31533433,1.219598796,-0.577246458,0.225975698,0.243809737,-0.144601251,1.581250423,-0.608221054,0.499692679,-0.528956991,0.383392687,0.381014316,0.465218286,-0.794888173,0.05287353,-0.400875011,0.772871108,0.042845835,1.001585795,0.882309331,-0.174237355,-0.173277018,0.565967557
PG5,94.85,57.61,0.7,23.18,4.64,3.21,0.01,0.3,5.18,94.83,-1.194915622,0.750197298,0.282974053,1.2453941,-0.737678214,0.315455268,0.286840324,-0.197008312,1.404226822,-0.641487388,0.465925297,-0.53728347,0.3846196,0.261763321,0.35400589,-0.771289132,0.074362943,-0.36770515,0.770532689,0.078236704,1.032117758,0.687837455,-0.247933951,-0.309077055,0.399904814
PG5,94.85,57.61,0.7,23.18,4.64,3.21,0.01,0.3,5.18,94.83,-1.188880185,0.73385408,0.321426747,1.238249912,-0.618857779,0.342446872,0.308528553,-0.247454271,1.538526784,-0.482235011,0.392759543,-0.300787811,0.348618381,0.472549526,0.554870837,-0.853923006,-0.001958493,-0.338348393,0.609221515,0.095054438,1.094542664,0.790271409,-0.22326428,-0.264048418,0.333643296
PG5,94.85,57.61,0.7,23.18,4.64,3.21,0.01,0.3,5.18,94.83,-1.208659941,0.933220663,0.271401319,1.225483267,-0.651771914,0.020966502,-0.064680516,0.178107329,1.494944235,-0.630874795,0.557663644,-0.408204483,0.296076172,0.026758286,0.274098866,-0.244064694,0.18392822,-0.410944708,0.748013341,0.047582895,0.774024557,0.732735897,-0.245233734,-0.260648152,0.527891268
PG6,95.03,60.22,0.58,19.87,6.06,4.28,0.01,0.31,3.67,95,-1.21028205,1.082287756,0.383590692,1.021358693,-0.486292648,-0.059000523,0.019385135,0.517227089,1.200049366,-0.258549511,0.571244496,0.33765173,0.440048836,-0.853848615,-0.509183377,0.019041455,0.089864692,-0.159498167,0.391641467,0.301820176,-0.230119094,0.370464362,-0.148020071,-0.210396197,0.559597968
PG6,95.03,60.22,0.58,19.87,6.06,4.28,0.01,0.31,3.67,95,-1.217957304,1.05614406,0.353757023,1.048453704,-0.600502823,0.139961332,0.198730872,0.28460342,1.239813015,-0.339419511,0.596722741,0.336977134,0.5012955,-0.544891424,-0.266950402,-0.143524252,-0.037660512,-0.279371735,0.32705068,0.105733079,-0.241861382,0.384551438,-0.077697793,-0.424159908,0.401923696
PG6,95.03,60.22,0.58,19.87,6.06,4.28,0.01,0.31,3.67,95,-1.201213895,1.031665831,0.378858219,1.029337262,-0.587678478,0.09512085,0.23868958,0.25891104,1.204843841,-0.332108371,0.632442192,0.151030079,0.607483953,-0.482778745,-0.168857604,-0.33544678,-0.083849431,-0.272726277,0.493628143,0.073496827,-0.143939429,0.43403435,-0.005863587,-0.441735586,0.220389946
PG6,95.03,60.22,0.58,19.87,6.06,4.28,0.01,0.31,3.67,95,-1.216587636,1.065644747,0.332134471,1.060871238,-0.645131812,0.109861166,0.149434957,0.336536898,1.199843859,-0.456900224,0.658156936,0.214112633,0.532580889,-0.50124184,-0.127833147,-0.151288437,-0.035905369,-0.298715822,0.381481269,0.166295762,0.030461627,0.623462597,-0.027052663,-0.363299285,0.155806409
